,0
red_ADC_subclass,0.03661009272688521
red_ADC_class,0.03239617399181582
red_Jungle_subclass,0.029787241368891926
blue_Jungle_subclass,0.029716126870219264
blue_ADC_subclass,0.028425075883261222
blue_ADC_class,0.027092534359892714
blue_Mid_subclass,0.026607734612727005
red_Top_subclass,0.02653424547060219
red_Support_subclass,0.025524688254049625
blue_Jungle_class,0.024543912799411722
blue_Support_subclass,0.02398519349893442
blue_Top_subclass,0.021708404855057834
red_Jungle_class,0.021174766484534466
red_Support_class,0.021043440630501408
blue_Top_class,0.019553038637931633
blue_Mid_class,0.018915890815344023
blue_Support_class,0.01640574538865678
red_Mid_subclass,0.013667374172296944
red_Mid_class,0.011713759622907927
red_Top_class,0.008943118278415004
